name,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
Home in Albany · ★5.0 · 2 bedrooms · 1 bed · 2 shared baths,Michael And Flerida,FOURTEENTH WARD,42.65846,-73.80201,Private room,80,4,8,12/08/2020,0.12,6,330,0
Home in Albany · ★4.97 · 1 bedroom · 1 bed · 2 shared baths,Michael And Flerida,FOURTEENTH WARD,42.65846,-73.80201,Private room,60,4,32,08/07/2020,0.45,6,5,0
Home in Albany · ★4.91 · 5 bedrooms · 6 beds · 2 baths,Michael And Flerida,FOURTEENTH WARD,42.65846,-73.80201,Entire home/apt,275,4,90,26/11/2023,1.2,6,330,19
Home in Albany · ★4.93 · 2 bedrooms · 4 beds · 1 bath,Peter,FIFTEENTH WARD,42.675,-73.82382,Entire home/apt,196,1,55,31/12/2022,0.73,9,189,0
Rental unit in Albany · ★4.91 · 1 bedroom · 2 beds · 1 bath,James,SEVENTH WARD,42.64939,-73.76865,Entire home/apt,126,2,130,28/05/2023,1.85,2,262,2
Home in Albany · ★4.90 · 1 bedroom · 1 bed · 1 bath,Bela,NINTH WARD,42.65532,-73.78244,Entire home/apt,85,2,39,01/06/2023,0.51,8,162,1
Home in Albany · ★4.75 · 1 bedroom · 1 bed · 1 shared bath,Chad,THIRTEENTH WARD,42.66565,-73.77975,Private room,40,10,40,08/12/2023,0.59,3,334,5
Rental unit in Albany · ★4.85 · 1 bedroom · 1 bed · 1 bath,Bela,NINTH WARD,42.65372,-73.78244,Entire home/apt,65,2,110,01/01/2024,1.47,8,248,13
Home in Albany · ★5.0 · 4 bedrooms · 5 beds · 1.5 baths,Peter,FIFTEENTH WARD,42.67547,-73.82402,Entire home/apt,557,4,8,27/07/2018,0.11,9,365,0
Rental unit in Albany · ★4.73 · 1 bedroom · 2 beds · 1 bath,Allen,TENTH WARD,42.66045,-73.77833,Entire home/apt,75,3,153,04/09/2023,2.06,8,364,12
Home in Albany · ★4.86 · 1 bedroom · 1 bed · 1 shared bath,Chad,ELEVENTH WARD,42.66572,-73.77834,Private room,35,10,21,17/11/2023,0.29,3,342,3
Home in Albany · ★4.81 · 1 bedroom · 1 bed · 1 shared bath,Chad,ELEVENTH WARD,42.66703,-73.77842,Private room,35,10,21,02/09/2023,0.28,3,328,3
Home in Albany · ★4.91 · 1 bedroom · 1 bed · 1 private bath,Bela,NINTH WARD,42.65501,-73.78122,Private room,55,2,104,23/12/2023,1.43,8,247,20
Rental unit in Albany · ★4.82 · 1 bedroom · 2 beds · 1 bath,Jake,SEVENTH WARD,42.64717,-73.77135,Entire home/apt,87,1,428,25/11/2023,6.18,2,48,34
Guest suite in Albany · ★4.93 · 1 bedroom · 1 bed · 1 private bath,Domini,FOURTEENTH WARD,42.65975,-73.81196,Private room,61,2,116,03/12/2023,1.67,1,0,22
Guest suite in Albany · ★4.92 · 1 bedroom · 1 bed · 1 private bath,Bela,NINTH WARD,42.65431,-73.78178,Private room,60,2,39,25/09/2023,0.61,8,279,3
Rental unit in Albany · ★4.88 · 1 bedroom · 2 beds · 1 bath,Jake,SEVENTH WARD,42.6477,-73.7714,Entire home/apt,78,1,353,24/12/2023,5.11,2,0,51
Guest suite in Albany · ★4.89 · 1 bedroom · 1 bed · 1 bath,Janet,SIXTH WARD,42.65345,-73.7645,Entire home/apt,82,1,755,21/12/2023,11.11,1,0,133
Home in Albany · ★4.92 · 1 bedroom · 1 bed · 1 shared bath,Leiba,SIXTH WARD,42.65333,-73.77293,Private room,100,3,12,27/07/2023,0.18,1,359,1
Rental unit in Albany · ★4.84 · 1 bedroom · 1 bed · 1 bath,Farah,SIXTH WARD,42.65403,-73.76325,Entire home/apt,89,2,105,13/11/2023,1.59,1,0,8
