name,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
Home in Albany · ★4.96 · 5 bedrooms · 7 beds · 2.5 baths,Diana,TENTH WARD,42.66236,-73.79245,Entire home/apt,600,2,55,24/11/2023,2.03,19,0,18
Rental unit in Albany · ★4.85 · 2 bedrooms · 2 beds · 1 bath,Diana,THIRTEENTH WARD,42.67131,-73.7921,Entire home/apt,145,1,53,26/11/2023,2.14,19,0,29
Rental unit in Albany · ★4.73 · 1 bedroom · 1 bed · 1 bath,Linda,FOURTH WARD,42.65812,-73.74837,Entire home/apt,115,1,56,29/10/2023,2.09,15,364,18
Rental unit in Albany · ★4.99 · 1 bedroom · 2 beds · 1 bath,Lloyd,SIXTH WARD,42.65826,-73.76944,Entire home/apt,109,1,140,31/12/2023,5.24,3,339,62
Vacation home in Albany · 3 bedrooms · 2 beds · 2 baths,Erwin,EIGHTH WARD,42.64792,-73.79953,Entire home/apt,250,3,0,,,1,365,0
Home in Albany · ★4.59 · 1 bedroom · 2 beds · 1 bath,Iris,FIFTEENTH WARD,42.67004,-73.82367,Entire home/apt,88,2,27,24/05/2023,1.04,3,0,3
Rental unit in Albany · ★4.80 · 1 bedroom · 1 bed · 1 bath,Diana,SECOND WARD,42.64369,-73.7581,Entire home/apt,97,1,40,01/12/2023,1.54,19,82,26
Vacation home in Albany · ★4.96 · 4 bedrooms · 4 beds · 1.5 baths,Brian,FOURTEENTH WARD,42.65824,-73.80114,Entire home/apt,196,1,96,28/12/2023,3.92,3,245,36
Rental unit in Albany · ★4.90 · 1 bedroom · 1 bed · 1 bath,Brian,SIXTH WARD,42.65204,-73.76655,Entire home/apt,99,1,170,31/12/2023,6.75,3,344,73
Rental unit in Albany · ★4.63 · 2 bedrooms · 2 beds · 2 baths,Linda,FOURTH WARD,42.65913,-73.74722,Entire home/apt,150,1,72,06/11/2023,2.86,15,360,31
Cottage in Albany · ★5.0 · 4 bedrooms · 4 beds · 1 bath,Peter,FIFTEENTH WARD,42.674675,-73.822861,Entire home/apt,224,1,16,18/11/2023,0.73,9,344,8
Rental unit in Albany · ★5.0 · 1 bedroom · 1 bed · 1 bath,David,FOURTH WARD,42.65873,-73.7494,Entire home/apt,75,13,3,31/12/2022,0.13,3,365,0
Place to stay in Albany · 1 bed · Half-bath,Roland,SECOND WARD,42.64683,-73.75662,Entire home/apt,300,1,0,,,1,365,0
Home in Albany · ★4.79 · 1 bedroom · 1 bed · 1 bath,Erion,TENTH WARD,42.66261,-73.79026,Entire home/apt,72,1,61,20/12/2023,3.19,8,358,22
Townhouse in Albany · ★4.96 · 1 bedroom · 1 bed · 1 bath,Erion,SIXTH WARD,42.65422,-73.76996,Entire home/apt,106,1,53,21/11/2023,2.44,8,347,25
Townhouse in Albany · ★4.90 · 1 bedroom · 1 bed · 1 bath,Erion,SIXTH WARD,42.65403,-73.77056,Entire home/apt,111,1,99,01/09/2023,4.07,8,310,3
Townhouse in Albany · ★4.99 · 2 bedrooms · 5 beds · 2 baths,Richard & Priscela,SIXTH WARD,42.65594,-73.76591,Entire home/apt,173,1,181,29/12/2023,7.92,1,0,85
Townhouse in Albany · ★4.98 · 3 bedrooms · 4 beds · 2 baths,Jared,SIXTH WARD,42.65155,-73.765,Entire home/apt,145,1,111,01/01/2024,5.06,1,297,76
Rental unit in Albany · ★4.80 · 2 bedrooms · 2 beds · 1 bath,Angela,SECOND WARD,42.64459,-73.75392,Entire home/apt,125,2,5,06/11/2022,0.31,4,5,0
Townhouse in Albany · ★4.87 · 2 bedrooms · 2 beds · 1.5 baths,Allen,NINTH WARD,42.65578,-73.78641,Entire home/apt,99,3,31,25/12/2023,1.99,8,93,23
Rental unit in Albany · ★4.85 · 1 bedroom · 1 bed · 1 bath,Allen,TENTH WARD,42.65905,-73.77964,Entire home/apt,79,2,33,22/12/2023,1.67,8,362,23
Rental unit in Albany · ★4.96 · 1 bedroom · 1 bed · 1 bath,Shawn,THIRD WARD,42.65742,-73.74985,Entire home/apt,95,4,27,15/12/2023,1.1,2,88,11
Townhouse in Albany · ★4.75 · 1 bedroom · 1 bed · 1 shared bath,Clyde,SIXTH WARD,42.65902,-73.7701,Private room,110,2,4,20/01/2023,0.17,4,364,1
Townhouse in Albany · ★4.50 · 1 bedroom · 1 bed · 1 shared bath,Clyde,SIXTH WARD,42.6595,-73.76938,Private room,100,2,4,02/07/2023,0.18,4,364,2
Townhouse in Albany · ★4.67 · 1 bedroom · 1 bed · 1.5 shared baths,Clyde,SIXTH WARD,42.6598,-73.76995,Private room,100,2,6,02/10/2022,0.26,4,363,0
Rental unit in Albany · 1 bedroom · 2 beds · 1 bath,Uniah,NINTH WARD,42.66062,-73.79112,Entire home/apt,75,6,2,26/06/2023,0.14,1,363,1
Rental unit in Albany · ★4.83 · 3 bedrooms · 3 beds · 1 bath,Peter,THIRTEENTH WARD,42.66919,-73.78672,Entire home/apt,266,2,6,24/12/2022,0.26,9,365,0
Serviced apartment in Albany · ★4.77 · 1 bedroom · 1 bed · 1 bath,Diana,SECOND WARD,42.64342,-73.75742,Entire home/apt,120,1,64,10/12/2023,2.8,19,0,31
Loft in Albany · ★4.65 · Studio · 1 bed · 1 bath,Linda,THIRD WARD,42.65848,-73.76359,Entire home/apt,115,1,36,01/11/2023,1.64,15,0,18
Rental unit in Albany · ★5.0 · 1 bedroom · 1 bed · 1 bath,Michael,SECOND WARD,42.64441,-73.75647,Entire home/apt,110,13,9,15/12/2023,0.48,5,167,4
Home in Albany · ★4.99 · 1 bedroom · 2 beds · 1 private bath,Thomas,THIRTEENTH WARD,42.66911,-73.79869,Private room,96,1,76,22/12/2023,4.14,10,0,59
Rental unit in Albany · ★4.84 · Studio · 2 beds · 1 bath,Diana,SECOND WARD,42.64252,-73.75688,Entire home/apt,119,1,67,03/12/2023,3.12,19,0,40
Rental unit in Albany · ★4.93 · 2 bedrooms · 3 beds · 1 bath,Reyana,NINTH WARD,42.652049,-73.7949665,Entire home/apt,100,2,28,01/01/2024,2,1,347,22
Rental unit in Albany · ★4.92 · 1 bedroom · 1 bed · 1 bath,Brian,SIXTH WARD,42.65353,-73.7679,Entire home/apt,99,1,96,28/12/2023,4.73,3,336,52
Loft in Albany · ★5.0 · 2 bedrooms · 2 beds · 1 bath,Nim,SIXTH WARD,42.65547943,-73.76625061,Entire home/apt,71,4,5,25/11/2023,0.35,1,221,4
Rental unit in Albany · ★5.0 · 1 bedroom · 1 bed · 1 bath,Michael,SECOND WARD,42.64489,-73.75731,Entire home/apt,120,13,5,03/08/2023,0.28,5,249,2
Home in Albany · ★4.67 · 2 bedrooms · 3 beds · 1.5 baths,Najeem Adegbemiga,SEVENTH WARD,42.640217,-73.780815,Entire home/apt,120,2,12,23/12/2023,0.72,1,363,6
Home in Albany · ★5.0 · 5 bedrooms · 1 bed · 3.5 baths,Thomas,FOURTEENTH WARD,42.66762,-73.79919,Entire home/apt,1209,1,7,28/12/2023,0.39,10,241,2
Condo in Albany · ★4.54 · 1 bedroom · 2 beds · 1 bath,Julia,THIRD WARD,42.65723,-73.75684,Entire home/apt,99,1,121,05/11/2023,6.02,3,83,66
Rental unit in Albany · ★4.69 · 3 bedrooms · 3 beds · 1 bath,Umer,SEVENTH WARD,42.64372,-73.78426,Entire home/apt,137,2,25,24/11/2023,1.25,4,0,7
Rental unit in Albany · ★4.95 · 1 bedroom · 2 beds · 1 bath,Kathryn,SIXTH WARD,42.65347,-73.7662,Entire home/apt,99,1,170,04/01/2024,8.82,1,306,111
Rental unit in Albany · ★4.90 · 1 bedroom · 1 bed · 1 shared bath,Umer,SEVENTH WARD,42.64318,-73.78386,Private room,53,4,10,14/07/2023,0.5,4,179,3
Rental unit in Albany · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,Umer,SEVENTH WARD,42.64242,-73.78536,Private room,53,4,12,02/08/2023,0.62,4,179,6
Rental unit in Albany · ★4.67 · 1 bedroom · 1 bed · 1 shared bath,Umer,SEVENTH WARD,42.64198,-73.78413,Private room,53,4,6,26/07/2023,0.31,4,179,2
Rental unit in Albany · ★4.75 · 1 bedroom · 1 bed · 1 bath,Linda,SECOND WARD,42.64528,-73.75861,Entire home/apt,120,1,36,29/10/2023,1.87,15,364,24
Rental unit in Albany · 2 bedrooms · 2 beds · 1 private bath,Jordan,THIRD WARD,42.66169975,-73.76466828,Private room,68,2,0,,,1,88,0
Rental unit in Albany · ★4.65 · 1 bedroom · 1 bed · 1 bath,Linda,SECOND WARD,42.64558,-73.75928,Entire home/apt,115,1,40,30/10/2023,2.04,15,282,25
Rental unit in Albany · ★4.55 · 3 bedrooms · 3 beds · 1 bath,Angela,SECOND WARD,42.645252,-73.753433,Entire home/apt,140,2,10,26/11/2023,0.93,4,0,10
Rental unit in Albany · ★4.96 · 3 bedrooms · 3 beds · 1 bath,Lori,SIXTH WARD,42.65323,-73.76797,Entire home/apt,113,2,74,04/09/2023,3.82,1,131,43
Home in Albany · ★4.86 · 3 bedrooms · 3 beds · 1 shared bath,Neha,ELEVENTH WARD,42.6635364,-73.7778236,Private room,48,10,21,16/08/2023,1.18,1,365,9
Rental unit in Albany · ★4.40 · 2 bedrooms · 2 beds · 1 bath,Julia,THIRD WARD,42.65802,-73.756165,Entire home/apt,108,1,119,01/01/2024,6.13,3,0,75
Rental unit in Albany · ★5.0 · 1 bedroom · 1 bed · 1 bath,Joshua,SIXTH WARD,42.65427,-73.76455,Entire home/apt,75,3,24,02/01/2024,1.37,4,358,18
Condo in Albany · 2 bedrooms · 1 bath,Jessica,THIRTEENTH WARD,42.66897,-73.79653,Entire home/apt,100,30,0,,,2,45,0
Rental unit in Albany · ★4.60 · Studio · 1 bed · 1 bath,Michael,SECOND WARD,42.64625,-73.75663,Entire home/apt,89,14,5,05/08/2023,0.3,5,187,2
Rental unit in Albany · ★4.61 · 2 bedrooms · 3 beds · 2 baths,Aggie,SECOND WARD,42.64595,-73.76196,Entire home/apt,93,1,44,10/12/2023,2.56,3,329,26
Rental unit in Albany · 1 bedroom · 1 bed · 1 bath,Grant,SIXTH WARD,42.65389,-73.76538,Entire home/apt,130,2,1,20/03/2023,0.1,1,90,1
Rental unit in Albany · ★4.69 · 1 bedroom · 1 bed · 1 bath,Linda,FOURTH WARD,42.65752,-73.74743,Entire home/apt,115,1,36,01/10/2023,2.01,15,289,23
Rental unit in Albany · 1 bedroom · 5 beds · 1 bath,Urbangem,SECOND WARD,42.64493,-73.75725,Entire home/apt,275,5,0,,,6,365,0
Rental unit in Albany · ★5.0 · 1 bedroom · 1 bed · 1 bath,Shawn,THIRD WARD,42.65795,-73.75092,Entire home/apt,101,4,13,11/10/2023,0.74,2,268,9
Home in Albany · ★5.0 · 3 bedrooms · 3 beds · 1 bath,Patrice,FIRST WARD,42.6374547,-73.7716647,Entire home/apt,159,5,5,22/09/2023,0.28,3,252,3
Rental unit in Albany · ★New · 1 bedroom · 2 beds · 1 bath,Jonathan,SIXTH WARD,42.65808213,-73.77000952,Entire home/apt,,3,0,,,1,269,0
Home in Albany · 4 bedrooms · 3 beds · 1.5 baths,Patrice,FIRST WARD,42.6382401,-73.7719405,Entire home/apt,139,5,1,15/07/2022,0.06,3,359,0
Rental unit in Albany · ★4.95 · 1 bedroom · 2 beds · 1 bath,Sean,SIXTH WARD,42.65541381,-73.76367521,Entire home/apt,118,2,60,11/12/2023,3.42,1,0,41
Home in Albany · ★5.0 · 1 bedroom · 1 bed · 1.5 shared baths,Thomas,FOURTEENTH WARD,42.66758,-73.7992,Private room,81,1,87,29/12/2023,4.82,10,0,58
Home in Albany · ★4.92 · 1 bedroom · 1 bed · 1.5 shared baths,Thomas,FOURTEENTH WARD,42.66764,-73.79908,Private room,83,1,75,20/12/2023,4.16,10,0,49
Home in Albany · 3 bedrooms · 5 beds · 1 bath,Wayne,FIFTH WARD,42.66381,-73.75919,Entire home/apt,125,7,2,22/12/2022,0.13,1,279,0
Rental unit in Albany · ★4.86 · 2 bedrooms · 2 beds · 1 bath,Johnny,SECOND WARD,42.64531,-73.75963,Entire home/apt,65,2,28,29/09/2023,1.66,1,151,12
Townhouse in Albany · ★4.91 · 3 bedrooms · 3 beds · 1 bath,Romel,THIRTEENTH WARD,42.6694413,-73.7974941,Entire home/apt,142,1,53,03/12/2023,3.07,1,0,32
Rental unit in Albany · 1 bedroom · 1 bed · 1 bath,Patrice,FIRST WARD,42.63716,-73.77227,Entire home/apt,60,7,0,,,3,318,0
Vacation home in Albany · 2 bedrooms · 2 beds · 1 bath,Md,SECOND WARD,42.646896,-73.757612,Entire home/apt,140,1,2,20/08/2023,0.19,3,126,2
Rental unit in Albany · ★4.80 · 4 bedrooms · 4 beds · 2 baths,Diana,TENTH WARD,42.66172,-73.78497,Entire home/apt,179,1,78,13/12/2023,4.5,19,0,56
Condo in Albany · ★4.40 · 1 bedroom · 2 beds · 1 bath,Julia,THIRD WARD,42.65732,-73.75676,Entire home/apt,99,1,73,13/11/2023,4.2,3,86,52
Rental unit in Albany · ★4.60 · 1 bedroom · 1 bed · 1 bath,Jerry,SEVENTH WARD,42.64759,-73.77049,Entire home/apt,99,2,5,27/08/2023,0.29,6,364,2
Home in Albany · ★4.78 · 1 bedroom · 1 bed · 1 shared bath,Brigid,TENTH WARD,42.6629848,-73.781535,Private room,50,5,9,26/05/2023,0.53,4,356,2
Vacation home in Albany · ★3.25 · 3 bedrooms · 3 beds · 1 bath,Md,SECOND WARD,42.64621,-73.75723,Entire home/apt,170,1,4,28/05/2023,0.26,3,126,2
Vacation home in Albany · ★4.08 · 3 bedrooms · 4 beds · 1 bath,Md,SECOND WARD,42.646896,-73.757612,Entire home/apt,169,1,12,26/07/2023,0.7,3,0,6
Condo in Albany · ★4.89 · 1 bedroom · 1 bed · 1 bath,David,SIXTH WARD,42.65405765,-73.760713,Entire home/apt,97,1,138,02/01/2024,8.18,2,237,117
Home in Albany · ★4.81 · 2 bedrooms · 2 beds · 1.5 baths,Hyacinth,TENTH WARD,42.66344638,-73.78874122,Private room,50,1,21,09/04/2023,1.3,1,0,5
Rental unit in Albany · ★4.87 · 1 bedroom · 1 bed · 1 bath,Rabia,ELEVENTH WARD,42.6623,-73.777,Entire home/apt,105,1,60,23/12/2023,4.81,1,0,58
Home in Albany · ★5.0 · 1 bedroom · 1 bed · 1 bath,Kelsey,EIGHTH WARD,42.64971,-73.80079,Entire home/apt,200,4,7,26/08/2023,0.49,1,0,3
Home in Albany · ★4.36 · 1 bedroom · 1 bed · 1.5 shared baths,Brigid,ELEVENTH WARD,42.66247,-73.77469,Private room,34,3,14,08/12/2023,0.85,4,343,7
Home in Albany · 1 bedroom · 1 bed · 1.5 shared baths,Brigid,TENTH WARD,42.66046,-73.77375,Private room,40,5,1,10/11/2023,0.52,4,339,1
Rental unit in Albany · ★5.0 · 1 bedroom · 1 bed · 1 bath,Michael,SECOND WARD,42.64577,-73.7583,Entire home/apt,110,13,3,13/08/2023,0.24,5,328,2
Home in Albany · ★4.50 · 1 bedroom · 1 bed · 2 shared baths,Edward,FOURTEENTH WARD,42.66008,-73.79816,Private room,27,30,4,16/08/2023,0.31,3,317,3
Home in Albany · 1 bedroom · 1 bed · 2 shared baths,Edward,FOURTEENTH WARD,42.65929701,-73.79720148,Private room,27,30,2,23/05/2023,0.14,3,331,1
Home in Albany · ★3.50 · 1 bedroom · 1 bed · 2 shared baths,Edward,FOURTEENTH WARD,42.65935889,-73.7972692,Private room,27,30,4,05/08/2023,0.29,3,364,3
Rental unit in Albany · ★4.71 · 2 bedrooms · 2 beds · 1 bath,Aggie,SECOND WARD,42.64638,-73.76146,Entire home/apt,91,1,34,11/12/2023,2.21,3,349,29
Rental unit in Albany · 1 bedroom · 1 bed · 1 shared bath,Mesut,TENTH WARD,42.65893,-73.78437,Private room,50,2,1,22/09/2022,0.06,1,352,0
Rental unit in Albany · ★5.0 · 2 bedrooms · 2 beds · 1 bath,Diana,THIRTEENTH WARD,42.6732,-73.79199,Entire home/apt,135,2,29,03/12/2023,2,19,88,23
Home in Albany · ★4.93 · 4 bedrooms · 4 beds · 2 baths,Nori,NINTH WARD,42.65691,-73.78389,Entire home/apt,198,1,112,29/12/2023,8.08,1,0,97
Rental unit in Albany · ★5.0 · 1 bedroom · 1 bed · 1 bath,Mela,SIXTH WARD,42.6513719,-73.7673156,Entire home/apt,115,2,17,29/12/2023,4.05,1,343,17
Rental unit in Albany · ★4.87 · 1 bedroom · 1 bed · 1 bath,Lucy,THIRD WARD,42.65103,-73.7574,Entire home/apt,,3,23,29/04/2023,1.52,1,0,8
Rental unit in Albany · 1 bedroom · 1 bed · 1 bath,Andrew,SIXTH WARD,42.65035,-73.76549,Entire home/apt,68,14,1,26/03/2023,0.1,1,310,1
Rental unit in Albany · ★4.83 · 1 bedroom · 1 bed · 1 bath,Earl,THIRD WARD,42.64564,-73.75261,Entire home/apt,85,1,29,21/12/2023,2.01,6,345,26
Rental unit in Albany · ★4.50 · 2 bedrooms · 4 beds · 1.5 baths,Evolve,SIXTH WARD,42.65245,-73.76294,Entire home/apt,204,2,8,09/07/2023,0.56,6,145,4
Rental unit in Albany · 1 bedroom · 1 bed · 1 shared bath,Elizabeth,SIXTH WARD,42.65643,-73.76402,Private room,60,30,2,28/11/2022,0.14,1,246,0
Rental unit in Albany · ★4.72 · 4 bedrooms · 4 beds · 1 bath,Diana,TENTH WARD,42.66069,-73.78555,Entire home/apt,185,1,31,23/10/2023,2.21,19,0,28
Home in Albany · ★4.95 · 1 bedroom · 1 bed · 1 shared bath,Bela,NINTH WARD,42.6543178,-73.7818222,Private room,45,2,19,16/12/2023,1.31,8,355,17
Rental unit in Albany · ★4.75 · 1 bedroom · 1 bed · 1 bath,Blossom Estates,NINTH WARD,42.65569,-73.77685,Entire home/apt,99,1,4,26/01/2023,0.32,2,319,2
Rental unit in Albany · ★5.0 · 1 bedroom · 1 bed · 1 bath,James,SEVENTH WARD,42.6496,-73.76792,Entire home/apt,81,2,9,30/12/2023,1.01,2,262,9
Home in Albany · ★4.67 · 1 bedroom · 1 bed · 1.5 shared baths,Brigid,TENTH WARD,42.66054,-73.77447,Private room,34,4,6,30/11/2023,0.76,4,174,6
Rental unit in Albany · ★4.92 · 2 bedrooms · 2 beds · 1 bath,Keneisha,FIFTH WARD,42.66648,-73.76831,Entire home/apt,91,2,12,22/10/2023,1.12,1,0,12
Condo in Albany · ★4.91 · 2 bedrooms · 2 beds · 1 bath,Vorakij,SECOND WARD,42.64439385,-73.75975702,Entire home/apt,140,2,31,17/12/2023,2.95,2,0,31
Condo in Albany · ★4.83 · 2 bedrooms · 2 beds · 1 bath,Vorakij,SECOND WARD,42.6444412,-73.7597141,Entire home/apt,138,2,23,28/12/2023,2.59,2,359,23
Rental unit in Albany · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,Musab,SIXTH WARD,42.65259,-73.76732,Private room,50,3,12,10/11/2023,0.97,2,175,11
Rental unit in Albany · ★5.0 · 1 bedroom · 1 bed · 1 bath,Elizabeth,SIXTH WARD,42.65534,-73.76461,Entire home/apt,70,7,9,30/09/2023,0.66,8,350,7
Rental unit in Albany · ★4.95 · 2 bedrooms · 2 beds · 1 bath,Diana,THIRTEENTH WARD,42.67348,-73.7934,Entire home/apt,128,2,21,03/12/2023,1.99,19,0,21
Rental unit in Albany · ★4.95 · 1 bedroom · 1 bed · 1 bath,Erion,SIXTH WARD,42.65405,-73.76953,Entire home/apt,117,1,20,22/10/2023,1.55,8,276,17
Home in Albany · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,Melissa,TENTH WARD,42.66117,-73.79091,Private room,75,1,8,05/11/2023,0.6,3,78,7
Home in Albany · ★4.85 · 1 bedroom · 1 bed · 1 bath,Hasan,FOURTEENTH WARD,42.6601,-73.80719,Entire home/apt,60,1,33,04/12/2023,2.67,1,249,31
Home in Albany · ★4.82 · 2 bedrooms · 2 beds · 2 baths,Massi,SIXTH WARD,42.6518469,-73.7642072,Entire home/apt,127,2,22,31/12/2023,1.76,1,116,20
Rental unit in Albany · ★4.79 · 1 bedroom · 1 bed · 1 bath,Queen,THIRD WARD,42.65725,-73.75065,Entire home/apt,98,1,33,05/01/2024,2.67,1,0,31
Bed and breakfast in Albany · 1 bedroom · 2 beds · 1 private bath,Terra,NINTH WARD,42.65664,-73.77556,Private room,130,1,1,13/06/2023,0.14,10,143,1
Bed and breakfast in Albany · ★4.75 · 1 bedroom · 1 bed · 1 private bath,Terra,NINTH WARD,42.65561,-73.77613,Private room,130,1,4,08/10/2023,0.45,10,144,4
Rental unit in Albany · ★4.89 · 1 bedroom · 1 bed · 1 bath,Abba,SIXTH WARD,42.65183,-73.76594,Entire home/apt,110,1,9,05/08/2023,0.73,6,26,8
Home in Albany · ★4.64 · 1 bedroom · 1 bed · 1 private bath,Donna,FOURTEENTH WARD,42.66298,-73.81361,Private room,60,1,11,20/10/2023,1.01,1,83,11
Rental unit in Albany · 1 bedroom · 1 bed · 1 bath,Elizabeth,THIRD WARD,42.65653,-73.76223,Entire home/apt,74,1,2,08/10/2023,0.4,8,351,2
Home in Albany · ★4.78 · 5 bedrooms · 5 beds · 3.5 baths,Drasana,FOURTH WARD,42.67996,-73.75352,Entire home/apt,536,2,9,02/01/2024,0.85,1,333,9
Rental unit in Albany · 1 bedroom · 1 bed · 1 bath,Elizabeth,SIXTH WARD,42.65322,-73.76249,Entire home/apt,80,7,1,02/10/2023,0.31,8,357,1
Rental unit in Albany · ★4.74 · 1 bedroom · 1 bed · 1 bath,Tomar & Kash,FIFTH WARD,42.65915031,-73.75431933,Entire home/apt,95,2,31,13/12/2023,2.75,1,245,31
Home in Albany · ★4.92 · 3 bedrooms · 4 beds · 2 baths,Scott,FOURTEENTH WARD,42.6653,-73.7943,Entire home/apt,190,1,37,21/12/2023,3.54,5,0,37
Rental unit in Albany · ★4.89 · 2 bedrooms · 2 beds · 1.5 baths,Diana,SECOND WARD,42.64324,-73.75732,Entire home/apt,150,1,37,03/12/2023,2.99,19,0,36
Rental unit in Albany · ★5.0 · 1 bedroom · 1 bed · 1 bath,Joshua,SIXTH WARD,42.65489,-73.77061,Entire home/apt,102,3,11,02/12/2023,1,4,281,11
Rental unit in Albany · ★4.33 · 3 bedrooms · 3 beds · 1 bath,Carla,FIFTH WARD,42.67283,-73.77367,Entire home/apt,104,3,6,21/11/2023,0.8,1,115,6
Bed and breakfast in Albany · 7 bedrooms · 8 beds · 7 baths,Terra,NINTH WARD,42.656329,-73.7752048,Private room,779,1,1,13/08/2023,0.2,6,99,1
Bed and breakfast in Albany · ★5.0 · 1 bedroom · 1 bed · 1 private bath,Terra,NINTH WARD,42.65582,-73.77541,Private room,122,1,5,27/10/2023,0.89,6,358,5
Rental unit in Albany · ★4.31 · 1 bedroom · 1 bed · 1 bath,Shane,NINTH WARD,42.6538578,-73.7855281,Entire home/apt,86,3,13,23/11/2023,1.34,1,199,13
Home in Albany · ★4.90 · 1 bedroom · 1 bed · 1 shared bath,Share,TENTH WARD,42.65741,-73.78034,Private room,60,2,10,17/11/2023,0.87,3,86,10
Rental unit in Albany · 1 bedroom · 1 bed · 1 bath,Patrick,SIXTH WARD,42.65315,-73.77012,Entire home/apt,80,30,2,18/05/2023,0.21,1,364,2
Rental unit in Albany · ★4.83 · 1 bedroom · 1 bed · 1 bath,Abba,SIXTH WARD,42.65038,-73.76664,Entire home/apt,115,1,5,11/12/2023,0.45,6,0,5
Home in Albany · ★4.67 · 3 bedrooms · 5 beds · 1 bath,Evolve,THIRTEENTH WARD,42.66958,-73.79722,Entire home/apt,132,2,9,27/08/2023,0.85,6,341,9
Bed and breakfast in Albany · ★4.0 · 1 bedroom · 1 bed · 1 private bath,Terra,SIXTH WARD,42.65751,-73.77409,Private room,122,1,4,24/11/2023,0.78,6,352,4
Rental unit in Albany · ★3.40 · 1 bedroom · 1 bed · 1 bath,Fran,TENTH WARD,42.6601122,-73.7754681,Entire home/apt,120,1,5,22/10/2023,0.42,1,279,5
Rental unit in Albany · 3 bedrooms · 3 beds · 2 baths,David,FOURTEENTH WARD,42.66691,-73.79338,Entire home/apt,125,14,1,20/06/2023,0.15,2,257,1
Bed and breakfast in Albany · ★4.67 · 1 bedroom · 2 beds · 1 private bath,Terra,NINTH WARD,42.656329,-73.775205,Private room,122,1,3,27/08/2023,0.53,6,353,3
Bed and breakfast in Albany · ★4.25 · 1 bedroom · 1 bed · 1 private bath,Terra,NINTH WARD,42.656329,-73.775205,Private room,122,1,4,28/07/2023,0.69,6,353,4
Rental unit in Albany · ★4.56 · 2 bedrooms · 2 beds · 1 bath,Diana,THIRD WARD,42.65588,-73.75332,Entire home/apt,95,1,54,22/12/2023,5.02,1,168,54
Home in Albany · ★4.65 · 2 bedrooms · 2 beds · 2 baths,Alexis,FIFTH WARD,42.6684126,-73.7684199,Entire home/apt,103,1,20,26/11/2023,1.75,1,249,20
Rental unit in Albany · ★4.97 · 2 bedrooms · 2 beds · 1 bath,Caroline,THIRTEENTH WARD,42.67239,-73.79418,Entire home/apt,87,3,29,06/12/2023,2.69,1,52,29
Rental unit in Albany · ★4.80 · 1 bedroom · 1 bed · 1 shared bath,Fs,THIRTEENTH WARD,42.67143615,-73.7903255,Private room,45,2,10,31/12/2023,1.91,4,364,10
Rental unit in Albany · ★4.60 · 1 bedroom · 1 bed · 1 bath,Erion,SIXTH WARD,42.65258,-73.76917,Entire home/apt,89,1,25,11/12/2023,2.25,8,334,25
Townhouse in Albany · 1 bedroom · 1 bed · 1 bath,Evolve,TENTH WARD,42.66011,-73.77547,Entire home/apt,101,2,0,,,6,281,0
Home in Albany · ★5.0 · 1 bedroom · 1 bed · 1 private bath,Cristian,FOURTEENTH WARD,42.66109,-73.80479,Private room,55,2,3,30/11/2023,0.29,2,248,3
Townhouse in Albany · 3 bedrooms · 3 beds · 1 bath,Manjano,SIXTH WARD,42.65184046,-73.77073691,Entire home/apt,,2,0,,,1,0,0
Rental unit in Albany · ★4.73 · 2 bedrooms · 2 beds · 1 bath,Blossom Estates,NINTH WARD,42.65613,-73.77469,Entire home/apt,113,1,15,03/09/2023,1.4,2,350,15
Home in Albany · ★4.95 · 5 bedrooms · 5 beds · 2 baths,Tiffany,FIFTEENTH WARD,42.67076,-73.82612,Entire home/apt,200,2,43,27/12/2023,4.29,1,233,43
Rental unit in Albany · 2 bedrooms · 2 beds · 1 bath,Natasha,SIXTH WARD,42.66007584,-73.76976949,Entire home/apt,110,2,1,04/09/2023,0.24,2,361,1
Rental unit in Albany · ★4.50 · 2 bedrooms · 2 beds · 1 bath,Natasha,SIXTH WARD,42.65987,-73.77025,Entire home/apt,110,2,11,03/12/2023,1.71,2,0,11
Rental unit in Albany · 3 bedrooms · 2 beds · 1 bath,Elizabeth,SIXTH WARD,42.65481,-73.76352,Entire home/apt,90,1,2,04/09/2023,0.21,8,365,2
Home in Albany · ★4.95 · 4 bedrooms · 5 beds · 2 baths,Nanette,FIRST WARD,42.63504,-73.79833,Entire home/apt,231,2,43,04/01/2024,4.48,1,91,43
Rental unit in Albany · ★4.60 · 3 bedrooms · 3 beds · 2 baths,Phil,TWELFTH WARD,42.67336,-73.78619,Entire home/apt,175,3,10,07/10/2023,1.12,2,361,10
Townhouse in Albany · ★4.98 · 1 bedroom · 2 beds · 1 private bath,Phat,SECOND WARD,42.6446,-73.75885,Private room,90,1,61,29/12/2023,6.65,1,334,61
Home in Albany · ★5.0 · 1 bedroom · 1 bed · 1.5 shared baths,Emily,THIRTEENTH WARD,42.67177,-73.79464,Private room,52,5,5,03/11/2023,0.94,2,144,5
